userId,fieldId,fieldName,fieldVaule
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,4,APP_USAGE,0
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,5,NOTIFICATION,0
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,6,general,1
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,7,gender,1
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,8,age,33
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,9,education,2
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,10,bfi2,1
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,1,STORAGE,0
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,2,LOCATION,0
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,3,CALL_LOG,0
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,4,APP_USAGE,0
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,5,NOTIFICATION,0
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,6,general,0
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,7,gender,
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,8,age,
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,9,education,
12f8e54dd8ddecc6cfa50c3caa09aeec8191e858a515c6b4158df4c83eb7f7e1,10,bfi2,0
93152f17f5e72d7656a112fd6250256a0e83b08f0b4f349de19c9bfdadb0be5e,1,STORAGE,0
93152f17f5e72d7656a112fd6250256a0e83b08f0b4f349de19c9bfdadb0be5e,2,LOCATION,0
93152f17f5e72d7656a112fd6250256a0e83b08f0b4f349de19c9bfdadb0be5e,3,CALL_LOG,0
93152f17f5e72d7656a112fd6250256a0e83b08f0b4f349de19c9bfdadb0be5e,4,APP_USAGE,0
93152f17f5e72d7656a112fd6250256a0e83b08f0b4f349de19c9bfdadb0be5e,5,NOTIFICATION,0
93152f17f5e72d7656a112fd6250256a0e83b08f0b4f349de19c9bfdadb0be5e,6,general,0
93152f17f5e72d7656a112fd6250256a0e83b08f0b4f349de19c9bfdadb0be5e,7,gender,
