userId,fieldId,fieldName,fieldVaule
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,2,LOCATION,0
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,3,CALL_LOG,0
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,4,APP_USAGE,0
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,5,NOTIFICATION,0
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,6,general,1
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,7,gender,1
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,8,age,28
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,9,education,5
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,10,bfi2,1
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,1,STORAGE,1
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,2,LOCATION,1
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,3,CALL_LOG,1
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,4,APP_USAGE,1
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,5,NOTIFICATION,1
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,6,general,1
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,7,gender,1
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,8,age,26
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,9,education,3
8656ae916e6ff769b3dd055b5ef592961978f398c077bab9de8d7ecf8ec4a7b0,10,bfi2,1
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,1,STORAGE,1
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,2,LOCATION,1
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,3,CALL_LOG,1
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,4,APP_USAGE,1
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,5,NOTIFICATION,1
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,6,general,1
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,7,gender,1
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,8,age,23
